code,name,nameEn,school,tags
ENG2001,学术英语（二）,English for Academic Purposes,人文社科学院,历史评价|评价丰富|给分讨论|工作量讨论|难度讨论
ENG2002B,商务英语,English for Business Communica,人文社科学院,历史评价
FIN2010,财务管理,Financial Management,经管学院,历史评价|评价较多|给分讨论
FIN2020,金融学基础,Foundation of Finance,经管学院,历史评价|工作量讨论
FIN2210,金融概率,Probability for Finance,经管学院,历史评价
FIN3080,投资分析与投资组合管理,Invsmt Analysis&Portfolio Mgt,经管学院,历史评价|评价较多|工作量讨论
FIN3210,金融科技理论与实践,Fintech Theory and Practice,经管学院,历史评价|工作量讨论
FIN3380,金融数据分析导论,Introduction to Financial Data,经管学院,历史评价|评价较多|工作量讨论|难度讨论
FIN4060,中国与世界的金融市场,Financial Mkt in China & World,经管学院,历史评价|评价较多|给分讨论|难度讨论
FIN4080,行为金融学,Behavioral Finance,经管学院,历史评价|评价较多|工作量讨论|难度讨论
FIN4110,期权与期货,Options and Futures,经管学院,历史评价|评价较多
FIN4120,固定收益证券分析,Fixed Income Securities Analys,经管学院,历史评价|难度讨论
FIN4210,公司金融学,Corporate Finance,经管学院,历史评价|工作量讨论|难度讨论
FRN1001,法语（一),French I,人文社科学院,历史评价|评价较多|给分讨论
FRN1002,法语（二）,French II,人文社科学院,历史评价|评价较多|给分讨论
GEA2000,中国近现代历史与文化,Modern Chinese History&Culture,人文社科学院,历史评价|评价较多|给分讨论|工作量讨论|难度讨论
GEB2001,探秘量子世界,Explor. of the Quantum World,人文社科学院,历史评价
GEB2110,一瞥纳米世界,A Glimpse into the Nano-world,人文社科学院,历史评价
GEB2112,知识论,Theory of Knowledge,人文社科学院,历史评价|评价较多|给分讨论|工作量讨论
GEB2203,向可持续未来转型,Transition to Sustainable Fut,人文社科学院,历史评价
GEB2205,地学遗产,Geoheritage,人文社科学院,历史评价|评价较多|给分讨论|工作量讨论
GEB2206,城市生态与保护,Introduction to Urban Ecology,人文社科学院,历史评价|给分讨论
GEB2401,GEB2401（课程名称待补充）,,通识教育,历史评价|课程名待补充|评价较多|工作量讨论
GEB2404,逻辑,Logic,人文社科学院,历史评价|评价较多|难度讨论
GEB2406,GEB2406（课程名称待补充）,,通识教育,历史评价|课程名待补充
GEB2501,砂土到苹果的蜕变——集成电路简介,Integrated Circuit,人文社科学院,历史评价
GEB2601,健康营养学,Nutrition for Healthy Life,人文社科学院,历史评价
GEB3101,揭秘化妆品,Beginning Cosmetic Chemistry,人文社科学院,历史评价
GEC2002,生活中的社会学,Living Sociology,人文社科学院,历史评价
GEC2102,GEC2102（课程名称待补充）,,通识教育,历史评价|课程名待补充|难度讨论
GEC2107,社会政治科学,Social and Political Philosoph,人文社科学院,历史评价
GEC2108,历史学家的技艺：史学理论与方法,The Historian's Craft,人文社科学院,历史评价
GEC2110,GEC2110（课程名称待补充）,,通识教育,历史评价|课程名待补充|给分讨论
GEC2112,滚滚红尘：近世中国的日常生活,Designed Desire: Daily Life,人文社科学院,历史评价|给分讨论|工作量讨论|难度讨论
GEC2113,流行病：全球史,Pandemics: A Global History,人文社科学院,历史评价
GEC2114,香港史,The History of Hong Kong,人文社科学院,历史评价|给分讨论|工作量讨论|难度讨论
GEC2115,拉丁美洲历史透视：过去的600年,Latin America in Historical Pe,人文社科学院,历史评价|评价较多|给分讨论|工作量讨论|难度讨论
GEC2201,GEC2201（课程名称待补充）,,通识教育,历史评价|课程名待补充
GEC2206,全球政治经济专题,Seminar on Selected Topics GPE,人文社科学院,历史评价|评价较多|给分讨论
GEC2404,社交媒体与都市青年文化,Social Media and Urban Youth C,人文社科学院,历史评价
GEC3102,GEC3102（课程名称待补充）,,通识教育,历史评价|课程名待补充
GEC3108,中国文化史,Cultural History of China,人文社科学院,历史评价
GEC3109,1500年之后的全球史,Global History since 1500,人文社科学院,历史评价
GEC3111,《三国志》导读,An Introduction to Records of,人文社科学院,历史评价
GEC3203,理解制度,Understanding Institution,人文社科学院,历史评价|给分讨论
GEC3401,社会，社会发展与社会不公平,"Society, Developt & Inequalit",人文社科学院,历史评价|工作量讨论
GEC3402,GEC3402（课程名称待补充）,,通识教育,历史评价|课程名待补充|难度讨论
GEC3403,GEC3403（课程名称待补充）,,通识教育,历史评价|课程名待补充
GEC3407,消费社会,The World as A Shopping Mall,人文社科学院,历史评价
GED2003,当代社会的性/别问题,Gender Matters,人文社科学院,历史评价|给分讨论|工作量讨论
GED2104,美学与艺术哲学,Aesthetics and the Philosophy,人文社科学院,历史评价
GED2110,伦理学,Ethics,人文社科学院,历史评价|工作量讨论
GED2116,《周易》思想与智慧,Thoughts and wisdom,人文社科学院,历史评价
GED2118,中国古代思想家,Ancient Chinese Thinkers,人文社科学院,历史评价|工作量讨论
GED2121,GED2121（课程名称待补充）,,通识教育,历史评价|课程名待补充|评价较多|给分讨论
GED2122,GED2122（课程名称待补充）,,通识教育,历史评价|课程名待补充|工作量讨论|难度讨论
GED2302,《哈姆雷特》：问题的诠释,Shakespeare’s Hamlet,人文社科学院,历史评价
GED2401,GED2401（课程名称待补充）,,通识教育,历史评价|课程名待补充
GED2402,电影类型与情感,Movie Genres and Emotions,人文社科学院,历史评价
GED3102,宋元明转折期的中国思想,Chinese Thought in the Song-Yu,人文社科学院,历史评价
GED3309,西方与中国诗歌中的「爱情」问题,The Problem of Love in Poetry,人文社科学院,历史评价
GFH1000,与人文对话,In Dialogue with Humanity,人文社科学院,历史评价|评价较多|给分讨论|工作量讨论|难度讨论
GFN1000,与自然对话,In Dialogue with Nature,人文社科学院,历史评价|评价丰富|给分讨论|工作量讨论|难度讨论
HSS1006,社会学导论,Introduction to Sociology,人文社科学院,历史评价|给分讨论|工作量讨论|难度讨论
HSS1009,数学(人文社科),Mathematics (Humanities&Soc.),人文社科学院,历史评价
ITE1000,信息技术,Information Technology,人文社科学院,历史评价|评价较多|工作量讨论|难度讨论
MAT1001,微积分（一）,Calculus I,理工学院,历史评价|评价丰富|给分讨论|工作量讨论|难度讨论
MAT1002,微积分（二）,Calculus II,理工学院,历史评价|评价丰富|给分讨论|工作量讨论
MAT1011,微积分荣誉课程（一）,Honours Calculus I,理工学院,历史评价|评价较多|给分讨论|工作量讨论
MAT2002,常微分方程,Ordinary Differential Equation,理工学院,历史评价
MAT2040,线性代数,Linear Algebra,理工学院,历史评价|评价丰富|给分讨论|难度讨论
MAT2041,线性代数与应用,Linear Algebra and Application,数据科学学院,历史评价|给分讨论
MAT2042,线性代数荣誉课程,Honours Linear Algebra,理工学院,历史评价|评价较多|给分讨论|难度讨论
MAT2050,数学分析,Mathematical Analysis,理工学院,历史评价
MAT3007,最优化,Optimization,数据科学学院,历史评价
MAT3010,微积分 II,Calculus for Economic Analysis,经管学院,历史评价|评价较多|给分讨论|难度讨论
MAT3280,概率论,Probability Theory,理工学院,历史评价
MAT4001,数值分析,Numerical Analysis,理工学院,历史评价|给分讨论
MAT4004,MAT4004（课程名称待补充）,,理工学院,历史评价|课程名待补充
MGT2020,管理原理,Principles of Management,经管学院,历史评价
MGT3010,组织行为学,Organizational Behavior,经管学院,历史评价
MGT3070,职场情绪管理,Managing Emotions at Work,经管学院,历史评价|给分讨论
MGT3250,国际商务,International Business,经管学院,历史评价|给分讨论
MGT3260,人力资源管理,Human Resource Management,经管学院,历史评价
MGT4030,建立演示的自我效能及沟通的影响力,Creating Presentation,经管学院,历史评价|给分讨论
MGT4060,企业战略与管理,Corporate Strategies and MGT,经管学院,历史评价
MGT4187,管理分析,Managerial Analytics,经管学院,历史评价|工作量讨论
MGT4250,跨文化交流谈判,Cross-cultural com&neg,经管学院,历史评价
MGT4270,供应链与物流管理现代和区域性问题,Current and Regional Issues,经管学院,历史评价|工作量讨论
MIS2051,智能商务技术：概论,Intelligent Business Technolog,经管学院,历史评价
MKT2010,市场管理,Marketing Management,经管学院,历史评价|评价丰富|给分讨论|工作量讨论
MKT3020,消费者行为,Consumer Behavior,经管学院,历史评价
MKT3030,整合营销传播,ITG Marketing Communication,经管学院,历史评价|评价较多
MKT3080,战略性媒体规划,Strategic Media Planning,经管学院,历史评价|给分讨论|工作量讨论
MKT3310,数据驱动的营销分析,Marketing Analytics,经管学院,历史评价|工作量讨论
MKT4040,战略营销,Strategic Marketing,经管学院,历史评价
MKT4080,社会媒体营销,Digital and Social Media Marke,经管学院,历史评价|给分讨论|工作量讨论
MKT4110,战略品牌管理,Strategic Brand Management,经管学院,历史评价|评价较多|给分讨论
MKT4120,市场研究,Marketing Research,经管学院,历史评价|给分讨论
MKT4170,MKT4170（课程名称待补充）,,经管学院,历史评价|课程名待补充|工作量讨论
MKT4220,大数据营销,Big Data Marketing,经管学院,历史评价
PED1001,体育,Physical Education,人文社科学院,历史评价|评价较多|给分讨论|工作量讨论
PED1002,适能与健康,Fitness and Health,人文社科学院,历史评价|评价较多|难度讨论
PHI1102,西方哲学史,History of Western Philosophy,人文社科学院,历史评价|评价较多|难度讨论
PHY1001,PHY1001（课程名称待补充）,,理工学院,历史评价|课程名待补充
PHY2001,PHY2001（课程名称待补充）,,理工学院,历史评价|课程名待补充
PHY3002,PHY3002（课程名称待补充）,,理工学院,历史评价|课程名待补充
PSY1010,心理学导论,Introduction to Psychology,人文社科学院,历史评价
PSY2040,感觉和知觉,Sensation and Perception,人文社科学院,历史评价
PSY3020,人格与个体差异,Personality and Individual Dif,人文社科学院,历史评价|给分讨论
PSY4140,记忆,Memory,人文社科学院,历史评价
PSY4160,临床与咨询心理学,Clinical and Counselling Psych,人文社科学院,历史评价
STA2001,概率及统计（一）,Probability and Statistics I,数据科学学院,历史评价|评价丰富
STA2002,概率及统计（二）,Probability and Statistics II,数据科学学院,历史评价|评价较多|给分讨论
STA2003,STA2003（课程名称待补充）,,数据科学学院,历史评价|课程名待补充|评价较多|给分讨论|工作量讨论|难度讨论
STA2004,STA2004（课程名称待补充）,,数据科学学院,历史评价|课程名待补充|难度讨论
STA3002,STA3002（课程名称待补充）,,数据科学学院,历史评价|课程名待补充|给分讨论
STA3010,STA3010（课程名称待补充）,,数据科学学院,历史评价|课程名待补充
STA3020,统计推断,Statistical Inference,数据科学学院,历史评价|评价较多|给分讨论|工作量讨论|难度讨论
STA4001,随机过程,Stochastic Processes,数据科学学院,历史评价|评价较多|给分讨论|难度讨论
STA4002,多元统计分析,MSA,数据科学学院,历史评价
STA4003,时间序列,Time Series,数据科学学院,历史评价
STA4020,金融市场的统计建模,SM IN FM,数据科学学院,历史评价|给分讨论
TRA3240,电影与电视字幕翻译,Film and Television Subtitles,人文社科学院,历史评价|难度讨论
